time,open,high,low,close
1750080600,119.61392568,120.11049628,119.58909715,120.02607928
1750080900,119.98635363,120.14029051,119.86717668,120.1303591
1750081200,120.14773907,120.15022193,120.00125075,120.08070204
1750081500,120.09063345,120.29919311,120.00125075,120.24953605
1750081800,120.26443316,120.49782134,120.18498187,120.37367869
1750082100,120.39354152,120.6269297,120.37367869,120.5474784
1750082400,120.55244411,120.73120953,120.52264987,120.57230693
1750082700,120.61203258,120.64679252,120.43823287,120.44319858
1750083000,120.42830146,120.64679252,120.42830146,120.63686111
1750083300,120.62196399,120.63686111,120.56237552,120.59713546
1750083600,120.61203258,120.66665535,120.56237552,120.6269297
1750083900,120.64182682,120.75603806,120.59713546,120.72872667
1750084200,120.74114094,120.81562653,120.706381,120.81562653
1750084500,120.83548935,120.84542076,120.72127811,120.75603806
1750084800,120.75603806,120.80072941,120.69644958,120.790798
1750085100,120.78583229,120.82059223,120.7113467,120.71631241
1750085400,120.70141529,120.77590088,120.67658676,120.73120953
1750085700,120.73120953,120.76596947,120.65672394,120.74114094
1750086000,120.76100376,120.87024929,120.75603806,120.87024929
1750086300,120.88018071,120.93976918,120.83052365,120.93480347
1750086600,120.93976918,120.99439194,120.87024929,120.93480347
1750086900,120.94473488,121.044049,120.91494065,121.00432335
1750087200,120.97949482,121.01425477,120.90500923,120.94473488
1750087500,120.99935765,121.00432335,120.75603806,120.80072941
1750087800,120.790798,120.90004353,120.76596947,120.89507782
1750088100,120.89507782,120.95466629,120.83052365,120.89011212
1750088400,120.90997494,120.94423831,120.86528359,120.88514641
1750088700,120.89507782,120.959632,120.875215,120.95466629
1750089000,120.94970059,120.95466629,120.83548935,120.83548935
1750089300,120.83052365,120.90500923,120.73120953,120.82059223
1750089600,120.81562653,120.90500923,120.76100376,120.82555794
1750089900,120.81562653,120.88514641,120.790798,120.86528359
1750090200,120.87024929,120.93976918,120.84542076,120.91990635
1750090500,120.90997494,120.98942624,120.89011212,120.94970059
1750090800,120.92487206,120.94473488,120.82555794,120.85038647
1750091100,120.85038647,120.87024929,120.7957637,120.80072941
1750091400,120.80569512,120.84542076,120.78583229,120.82059223
1750091700,120.81562653,120.85535218,120.75603806,120.80072941
1750092000,120.80072941,120.80072941,120.71631241,120.72127811
1750092300,120.71631241,120.81562653,120.69644958,120.76596947
1750092600,120.76100376,120.90500923,120.75107235,120.86031788
1750092900,120.83548935,120.86031788,120.75603806,120.78583229
1750093200,120.78583229,120.81066082,120.75107235,120.77093517
1750093500,120.7957637,120.7957637,120.73120953,120.77590088
1750093800,120.77590088,120.81066082,120.71631241,120.74114094
1750094100,120.73120953,120.80569512,120.69644958,120.80569512
1750094400,120.80072941,120.85038647,120.7957637,120.82555794
1750094700,120.82059223,120.95714915,120.81562653,120.92487206
1750095000,120.93976918,120.98942624,120.86528359,120.91494065
1750095300,120.92487206,120.92487206,120.83548935,120.83548935
1750095600,120.83052365,120.91494065,120.82555794,120.82555794
1750095900,120.82555794,120.88514641,120.81562653,120.86528359
1750096200,120.86031788,120.90004353,120.77590088,120.77590088
1750096500,120.77590088,120.78086659,120.67658676,120.73617523
1750096800,120.72127811,120.77590088,120.706381,120.75603806
1750097100,120.76348661,120.7957637,120.73617523,120.74610664
1750097400,120.72624382,120.73617523,120.69148388,120.72624382
1750097700,120.73617523,120.76100376,120.69148388,120.7113467
1750098000,120.69644958,120.73120953,120.63189541,120.73120953
1750098300,120.73617523,120.73617523,120.67658676,120.68651817
1750098600,120.67162105,120.67162105,120.60706688,120.6269297
1750098900,120.62196399,120.63189541,120.58223835,120.59216976
1750099200,120.59216976,120.61699829,120.56237552,120.59216976
1750099500,120.58223835,120.58223835,120.49285564,120.49285564
1750099800,120.48788993,120.63686111,120.4580957,120.63686111
1750100100,120.64182682,120.69644958,120.64182682,120.64182682
1750100400,120.62941255,120.67658676,120.60706688,120.63686111
1750100700,120.63189541,120.63189541,120.55244411,120.56734123
1750101000,120.55740982,120.63686111,120.51768417,120.60706688
1750101300,120.58223835,120.67162105,120.56734123,120.58223835
1750101600,120.58223835,120.74163751,120.53754699,120.66665535
1750101900,120.69644958,120.83548935,120.66665535,120.66665535
1750102200,120.67658676,120.69148388,120.57230693,120.59713546
1750102500,120.59216976,120.66665535,120.59216976,120.61699829
1750102800,120.62196399,120.66665535,120.60706688,120.64679252
1750103100,120.65175823,120.706381,120.64679252,120.68155247
