time,open,high,low,close
1750080600,133.56828842,133.56828842,132.14016904,132.73684906
1750080900,132.73684906,133.34331071,132.72706742,133.2650576
1750081200,133.27483924,133.35309235,133.12811464,133.15745956
1750081500,133.1427871,133.54872514,133.0694248,133.49003531
1750081800,133.49981695,133.60741498,133.32374743,133.54872514
1750082100,133.51448941,133.6367599,133.43134547,133.54872514
1750082400,133.55850678,133.61719662,133.47536285,133.60252416
1750082700,133.55850678,133.61719662,133.23571268,133.46069039
1750083000,133.44112711,133.59763334,133.30418415,133.49003531
1750083300,133.49003531,133.71501302,133.48025367,133.71501302
1750083600,133.71501302,133.81282941,133.65632318,133.69544974
1750083900,133.71501302,133.74435794,133.52916186,133.59763334
1750084200,133.59763334,133.84217433,133.59763334,133.82261105
1750084500,133.82261105,133.82261105,133.7345763,133.77370285
1750084800,133.79326613,133.81282941,133.5878517,133.80304777
1750085100,133.78348449,133.83239269,133.72479466,133.73946712
1750085400,133.7345763,133.78348449,133.5878517,133.64654154
1750085700,133.64654154,133.65632318,133.27483924,133.29440251
1750086000,133.28462088,133.29440251,132.80532054,132.82488382
1750086300,132.81510218,132.82488382,132.57545201,132.6977225
1750086600,132.7221766,132.7955389,132.65859594,132.77597562
1750086900,132.79064808,132.98628087,132.77597562,132.92270021
1750087200,132.92270021,133.02051661,132.89335529,132.99117169
1750087500,132.95204513,132.96182677,132.75641234,132.83466545
1750087800,132.84444709,132.88357365,132.6977225,132.6977225
1750088100,132.68794086,132.83466545,132.65859594,132.77597562
1750088400,132.77597562,132.95204513,132.77597562,132.83466545
1750088700,132.83466545,132.94226349,132.77597562,132.79064808
1750089000,132.7955389,132.88357365,132.67815922,132.68794086
1750089300,132.68794086,132.85422873,132.60968774,132.76619398
1750089600,132.77597562,132.88357365,132.77597562,132.83466545
1750089900,132.86401037,132.89335529,132.82488382,132.82488382
1750090200,132.80532054,132.88357365,132.78575726,132.85422873
1750090500,132.84444709,132.90313693,132.81510218,132.88357365
1750090800,132.84444709,133.01562579,132.80532054,133.01171313
1750091100,133.00584415,133.00584415,132.80532054,132.86401037
1750091400,132.86401037,132.92270021,132.83466545,132.83466545
1750091700,132.83466545,132.89335529,132.80532054,132.88357365
1750092000,132.90313693,132.93248185,132.82488382,132.84444709
1750092300,132.82488382,132.92270021,132.80532054,132.92270021
1750092600,132.89335529,132.95204513,132.85422873,132.91291857
1750092900,132.88357365,132.88357365,132.76619398,132.80532054
1750093200,132.80042972,132.82488382,132.73684906,132.77597562
1750093500,132.76619398,132.78575726,132.71239496,132.78575726
1750093800,132.77597562,132.77597562,132.65859594,132.66837758
1750094100,132.66837758,132.78575726,132.6488143,132.78575726
1750094400,132.80532054,132.81510218,132.71728578,132.75641234
1750094700,132.78575726,133.01073497,132.77597562,132.98139005
1750095000,132.99117169,133.04986153,132.87379201,132.93248185
1750095300,132.92270021,132.92270021,132.82977463,132.86401037
1750095600,132.84444709,132.85422873,132.7955389,132.84444709
1750095900,132.84444709,132.85911955,132.71728578,132.78575726
1750096200,132.78575726,132.7955389,132.6977225,132.72706742
1750096500,132.6977225,132.7466307,132.6488143,132.6977225
1750096800,132.68794086,132.72706742,132.65859594,132.65859594
1750097100,132.67815922,132.77597562,132.6488143,132.67815922
1750097400,132.67815922,132.73684906,132.63903266,132.73684906
1750097700,132.73684906,132.73684906,132.58034283,132.59012447
1750098000,132.5999061,132.67815922,132.58034283,132.67815922
1750098300,132.66935575,132.68794086,132.56077955,132.56077955
1750098600,132.5999061,132.62925102,132.54121627,132.59012447
1750098900,132.59012447,132.59012447,132.45318151,132.50698053
1750099200,132.52165299,132.53143463,132.49719889,132.50208971
1750099500,132.50111155,132.50111155,132.44339987,132.46296315
1750099800,132.45318151,132.55099791,132.41405495,132.53143463
1750100100,132.55099791,132.58034283,132.52165299,132.52165299
1750100400,132.51187135,132.56077955,132.39546984,132.39546984
1750100700,132.37492839,132.38471003,132.31623856,132.33580184
1750101000,132.33580184,132.37492839,132.25754872,132.3260202
1750101300,132.3260202,132.3260202,132.23798544,132.24776708
1750101600,132.2526579,132.45318151,132.2526579,132.35536512
1750101900,132.34558348,132.46296315,132.34069266,132.39449167
1750102200,132.38471003,132.52654381,132.34558348,132.51187135
1750102500,132.51187135,132.58034283,132.49230807,132.53143463
1750102800,132.52165299,132.57056119,132.48252643,132.57056119
1750103100,132.58034283,132.72706742,132.55588873,132.70261332
1750103400,132.6977225,132.77597562,132.56077955,132.7466307
1750103700,132.78575726,132.81510218,132.62925102,132.76619398
1750167000,132.01300773,132.40427331,131.49458083,131.51414411
1750167300,131.51414411,131.93475461,131.3380746,131.8565015
1750167600,131.83693822,131.94453625,131.435891,131.67065035
1750167900,131.69021362,131.88584642,131.58261559,131.7097769
1750168200,131.69999526,131.82715658,131.13266017,131.25003984
1750168500,131.26960312,131.68043198,131.25982148,131.63152379
1750168800,131.63152379,131.69021362,131.47501755,131.63152379
1750169100,131.61196051,131.67065035,131.42610936,131.63152379
1750169400,131.65108707,131.8075933,131.56305231,131.80270248
1750169700,131.8075933,131.8075933,131.57283395,131.64130543
1750170000,131.66086871,131.77824838,131.62174215,131.68043198
1750170300,131.69021362,131.79781166,131.64130543,131.71955854
1750170600,131.73912182,131.86628314,131.67065035,131.69999526
1750170900,131.68043198,131.74890346,131.64130543,131.71955854
