time,open,high,low,close
1704067200,42314,42603.2,42289.6,42503.5
1704070800,42503.5,42832,42462,42647.9
1704074400,42647.9,42676.9,42530,42620.4
1704078000,42620.5,42630,42270,42369.8
1704081600,42369.8,42439.8,42235.2,42436.6
1704085200,42436.6,42440,42207.9,42272.6
1704088800,42272.6,42461.3,42239.1,42423.3
1704092400,42423.4,42536,42421.7,42527
1704096000,42527.1,42597.3,42489.4,42588.2
1704099600,42588.2,42734.2,42570,42688.8
1704103200,42688.8,42795,42661.1,42727.7
1704106800,42727.7,42800,42638,42727.6
1704110400,42727.7,42825.2,42651.1,42682
1704114000,42682,42787.5,42647.9,42753.9
1704117600,42753.8,42755.8,42614.5,42645.6
1704121200,42645.5,42887.5,42617.6,42818
1704124800,42818,42898.9,42693.1,42759.7
1704128400,42759.7,42860.8,42734.8,42847
1704132000,42847,43268,42847,43148
1704135600,43148,43593.2,43133.3,43556.2
1704139200,43556.2,43915.5,43548.5,43753.3
1704142800,43753.2,43853,43531.8,43679.8
1704146400,43679.7,43723.8,43426,43583.9
1704150000,43584,44266,43583.9,44230.2
1704153600,44230.3,45376,44200.9,45179.8
1704157200,45179.7,45485.7,44750,44926.3
1704160800,44926.5,45428,44926.5,45420
1704164400,45420,45565,45167.3,45435
1704168000,45434.9,45484.4,45193.1,45211.7
1704171600,45211.5,45366,45153,45218.2
1704175200,45218.2,45346.2,45163.9,45202.9
1704178800,45202.9,45832.8,45202.5,45495.5
1704182400,45495.6,45905.9,45365,45816.8
1704186000,45816.8,45950,45667.7,45730.5
1704189600,45730,45772.8,45478,45655.7
1704193200,45655.7,45767.6,45258,45486.8
1704196800,45486.8,45655,45323.2,45355.1
1704200400,45355.1,45760,45316.4,45686.3
1704204000,45686.2,45850,45026,45293.6
1704207600,45293.5,45359.9,44868.1,45215
1704211200,45215,45449.2,44918,45393.4
1704214800,45393.4,45423.5,44979.9,45001.2
1704218400,45001.3,45308.4,44969.6,45189
1704222000,45188.9,45286.9,44783.3,45073.2
1704225600,45073.3,45223.1,44762.4,44825.2
1704229200,44825.1,45155,44598,45155
1704232800,45154.9,45338.9,44871,45006.7
1704236400,45006.7,45083.1,44818.1,44979.8
1704240000,44979.7,45250.7,44895.8,45168.1
1704243600,45168,45379.2,45134.2,45347.8
1704247200,45347.8,45463.5,45251.7,45312.7
1704250800,45312.6,45346.8,45188,45297.8
1704254400,45297.8,45309.7,45144,45218.8
1704258000,45218.8,45330,45150,45200
1704261600,45200,45405.3,45185,45362.7
1704265200,45362.8,45423,44960,45030.4
1704268800,45030.5,45240,45023.7,45224.1
1704272400,45224.1,45582.3,45207.5,45378.7
1704276000,45378.6,45420.9,45061,45175.7
1704279600,45175.7,45205.3,43500,43728.9
1704283200,43728.9,43738.8,40333,42795.8
1704286800,42795.8,42827.1,42310.4,42545.7
1704290400,42545.7,42546.4,42062.7,42204.1
1704294000,42204.1,43049.9,42194.2,43014
1704297600,43014,43595.9,42800,43009.2
1704301200,43009.1,43049.8,42595,42914.5
1704304800,42914.5,43064.9,41920,42267.6
1704308400,42267.6,43040,42163.9,42600.4
1704312000,42600.4,42850.4,42517.6,42724.5
1704315600,42724.6,42974.5,42585.3,42927.1
1704319200,42927.1,42949.2,42600,42753.6
1704322800,42753.6,42857.9,42588.1,42849.5
1704326400,42849.5,42997.1,42756.5,42883.4
1704330000,42883.4,42949.3,42625,42716.6
1704333600,42716.6,43236,42700,43151
1704337200,43151.1,43229,43013.3,43119.6
1704340800,43119.6,43216.2,42966.9,43161.1
1704344400,43161.1,43290,43081.6,43191.3
