time,open,high,low,close
1704067200,2283.84,2299.16,2282.97,2297.41
1704070800,2297.41,2308.74,2294.77,2305.71
1704074400,2305.72,2306.95,2293.15,2295.19
1704078000,2295.19,2296.83,2272.04,2275.59
1704081600,2275.59,2281.71,2266.67,2281.45
1704085200,2281.46,2285.48,2274.1,2277.96
1704088800,2277.96,2285.32,2276,2283.44
1704092400,2283.43,2289.82,2282.9,2286.46
1704096000,2286.46,2289.29,2281.82,2289.07
1704099600,2289.07,2302.47,2288.76,2301.83
1704103200,2301.83,2305.56,2299.64,2304.19
1704106800,2304.19,2307.45,2301.01,2306.72
1704110400,2306.71,2309.49,2300.94,2301.52
1704114000,2301.52,2310.81,2300,2306.13
1704117600,2306.13,2307.5,2296.51,2303.2
1704121200,2303.2,2321,2301.47,2316.97
1704124800,2316.97,2322.24,2308.36,2311.9
1704128400,2311.9,2319.14,2308.52,2315.87
1704132000,2315.87,2334.43,2315.87,2328.95
1704135600,2328.96,2343.43,2324.04,2339.71
1704139200,2339.71,2351.34,2337.34,2343.24
1704142800,2343.24,2349.15,2334.3,2340.71
1704146400,2340.7,2341.96,2325.56,2336.77
1704150000,2336.77,2354.95,2336.5,2354.62
1704153600,2354.63,2396.49,2349.57,2392.14
1704157200,2392.14,2402.64,2374.3,2382.05
1704160800,2382.05,2385,2377.14,2385
1704164400,2385,2390.95,2373.54,2388.45
1704168000,2388.46,2393.16,2380.41,2389.75
1704171600,2389.75,2394.99,2379.55,2379.8
1704175200,2379.81,2386.11,2375.66,2375.66
1704178800,2375.67,2391.36,2375.66,2387.83
1704182400,2387.84,2434.49,2382.2,2429.28
1704186000,2429.27,2431.26,2414.62,2417.03
1704189600,2417.02,2419.91,2396,2401.54
1704193200,2401.53,2405.85,2382.01,2394.28
1704196800,2394.28,2407.81,2385.22,2390.07
1704200400,2390.06,2403.84,2385.6,2400.94
1704204000,2400.93,2406,2356.39,2369.15
1704207600,2369.29,2372.99,2353.47,2359.6
1704211200,2359.61,2372.09,2352.32,2370.2
1704214800,2370.2,2370.25,2353,2359.49
1704218400,2359.5,2372.37,2357.27,2367.96
1704222000,2367.96,2374.99,2356.47,2371.24
1704225600,2371.22,2382.65,2360.44,2362.07
1704229200,2362.08,2368.71,2335,2368.26
1704232800,2368.25,2374.46,2359.18,2361.03
1704236400,2361.04,2364.4,2352.05,2356.93
1704240000,2356.92,2369.34,2348.46,2363.48
1704243600,2363.48,2378,2362.08,2375.21
1704247200,2375.31,2387.28,2369,2370.59
1704250800,2370.58,2372.35,2366,2370.36
1704254400,2370.36,2376,2365.01,2372.44
1704258000,2372.44,2381.4,2370.09,2378.74
1704261600,2378.73,2382.99,2375.03,2376.99
1704265200,2377,2381.14,2357.99,2362.82
1704268800,2362.82,2373.61,2362.52,2372.53
1704272400,2372.53,2387.48,2372.06,2378.16
1704276000,2378.16,2382.84,2362.73,2366.3
1704279600,2366.3,2367.56,2298.01,2309.86
1704283200,2309.46,2310.39,2067.16,2249.55
1704286800,2249.54,2250.13,2206.56,2224.29
1704290400,2224.3,2224.76,2190.15,2194.11
1704294000,2194.11,2241.83,2191,2241.02
1704297600,2241.23,2246.62,2221.33,2231.42
1704301200,2231.42,2234,2211.82,2223.92
1704304800,2223.88,2228.71,2188.88,2199.03
1704308400,2199.02,2229.99,2197.75,2206.79
1704312000,2206.79,2224.27,2205.42,2218.88
1704315600,2218.9,2228.69,2212.22,2226.78
1704319200,2226.79,2227.19,2199.03,2205.97
1704322800,2205.96,2211.05,2196.15,2210.39
1704326400,2210.39,2220.8,2207.28,2211.22
1704330000,2211.22,2214.96,2202.1,2206.62
1704333600,2206.62,2233.8,2205.08,2232.31
1704337200,2232.3,2241.19,2225.4,2231.78
1704340800,2231.79,2240.13,2228.43,2238.51
1704344400,2238.52,2245,2233.21,2236.87
1704348000,2236.87,2245.94,2235.51,2239.62
1704351600,2239.62,2242.78,2222.04,2222.99
1704355200,2223,2227.56,2212.1,2217.18
1704358800,2217.18,2231,2215.49,2224.68
1704362400,2224.68,2227.26,2205.42,2223.46
1704366000,2223.46,2232,2216,2229.13
1704369600,2229.13,2243,2223.58,2236.79
1704373200,2236.78,2248.58,2232.11,2238.74
1704376800,2238.74,2275.94,2230.79,2273.77
1704380400,2274,2286.99,2262.46,2277.86
1704384000,2277.86,2281.5,2260,2270.17
1704387600,2270.17,2290,2267.41,2275.1
1704391200,2275.1,2280.66,2268.37,2274
