time,open,high,low,close
1782461700,3028.6,3029.2,3027.4,3027.4
1782462000,3027.2,3028.4,3026.3,3028.1
1782462300,3028,3031,3027.6,3030.8
1782462600,3030.7,3030.8,3025.2,3025.5
1782462900,3025.1,3026.6,3024.6,3026.4
1782463200,3026.3,3027.4,3024.5,3024.8
1782463500,3024.8,3024.8,3021.1,3021.3
1782463800,3021.2,3021.7,3017.5,3017.6
1782464100,3017.4,3018,3015.2,3017.4
1782464400,3017.5,3017.5,3013.6,3015.2
1782464700,3014.9,3016.5,3014,3014
1782465000,3013.8,3016.9,3012.8,3016.1
1782465300,3015.8,3016.2,3012.1,3014
1782465600,3014.3,3014.3,3009.9,3010.5
1782465900,3010.3,3011.8,3009.5,3011.5
1782466200,3011.3,3011.8,3008.6,3011.5
1782466500,3012,3014.2,3011.8,3012.9
1782466800,3013.1,3017,3013.1,3015.1
1782467100,3015,3017.2,3014.6,3016.3
1782467400,3016.4,3016.4,3013.4,3013.4
1782467700,3013.3,3013.6,3011.5,3012.4
1782468000,3011.9,3012.1,3006.5,3008.1
1782468300,3008.2,3011.8,3007.8,3011.7
1782468600,3012,3013.9,3011,3013.1
1782468900,3012.9,3014,3011.6,3011.6
1782469200,3011.5,3011.6,3009,3009.2
1782469500,3009.2,3011.6,3008.8,3011.3
1782469800,3011.2,3012.3,3010,3012
1782470100,3012,3012.4,3010.4,3010.7
1782470400,3010.6,3011.7,3010.2,3010.3
1782470700,3010.7,3012.6,3010.5,3011.4
1782471000,3011.8,3012,3009.3,3011.8
1782471300,3011.5,3012,3010.2,3012
1782471600,3011.9,3014.5,3010.1,3014
1782471900,3013.9,3015.4,3013,3014.9
1782472200,3015,3017.4,3014.2,3015
1782472500,3014.5,3014.8,3012.3,3013.9
1782472800,3013.6,3015.1,3012.3,3014.3
1782473100,3014.5,3015.3,3013,3013.7
1782473400,3013.5,3014.5,3012.9,3013.7
1782473700,3013.5,3014.5,3012.5,3013.2
1782474000,3013.7,3016.4,3012.7,3013.7
1782474300,3013.7,3016,3013.4,3015.7
1782474600,3015.6,3015.8,3010.4,3011
1782474900,3011,3014.2,3011,3014.1
1782475200,3013.9,3017,3012.7,3016.5
1782475500,3016.4,3019.4,3016.4,3019.2
1782475800,3019.1,3020.1,3017.6,3018.7
1782476100,3018.7,3021.5,3016.4,3017.1
1782476400,3017.2,3017.5,3013.8,3013.9
1782476700,3013.7,3015.2,3013.1,3014.7
1782477000,3014.7,3016.4,3014,3014.8
1782477300,3014.5,3014.5,3010.1,3010.8
1782477600,3010.7,3011.7,3010.4,3010.4
1782477900,3010.3,3010.6,3007.4,3008.6
1782478200,3008.8,3011.2,3007.8,3010.2
1782478500,3010.6,3012,3010,3011.5
1782478800,3011.9,3012.1,3008.4,3009.5
1782479100,3009.6,3010,3007.4,3007.7
1782479400,3007.9,3008.9,3006.6,3008.7
1782479700,3008.7,3009.9,3001.3,3005.7
1782480000,3005.8,3010.1,3004.8,3009.5
1782480300,3009.2,3010.4,3006.7,3008.6
1782480600,3008.7,3013.3,2999.2,3004.2
1782480900,3004.3,3010.1,3003,3007.8
1782481200,3007.8,3021,3007.1,3019.7
1782481500,3019.8,3022.2,3011.9,3014.2
1782481800,3014.1,3018.8,3010,3012.6
1782482100,3012.8,3025,3011.8,3023.6
1782482400,3023.8,3033.4,3022.7,3032.5
1782482700,3032.7,3038,3029.4,3034.3
1782483000,3034.1,3037.5,3031.1,3034.6
1782483300,3034.4,3036,3028.9,3029
1782483600,3029.1,3037.7,3029,3033.1
1782483900,3033.4,3038.6,3032.7,3036.8
1782484200,3036.9,3038.2,3031.8,3033.3
1782484500,3033.5,3034,3025.1,3026.6
1782484800,3026.5,3031.2,3023.5,3025.5
1782485100,3025.7,3032,3025.3,3029.5
1782485400,3029.6,3032.1,3024.1,3025.5
1782485700,3025.4,3027.3,3021.9,3024.6
1782486000,3024.9,3029.4,3023.9,3024.9
1782486300,3025.3,3028.4,3023.1,3028.1
1782486600,3028.2,3029.1,3021.5,3022.1
1782486900,3022,3029,3019.4,3027.4
1782487200,3027,3031.6,3024.9,3030.8
1782487500,3030.7,3035.3,3030.5,3035.1
1782487800,3034.9,3040.2,3032.6,3033.7
1782488100,3033.9,3041.5,3033.7,3040.4
1782488400,3040.5,3043.8,3038.9,3041.6
1782488700,3041.7,3042.3,3037.9,3038.1
1782489000,3038,3040,3031.6,3033
1782489300,3032.9,3041.6,3032.2,3038.5
