time,open,high,low,close
1773612000,6723.5,6755.5,6719.5,6745.5
1773612300,6745.5,6747.25,6735.75,6737.25
1773612600,6737,6742,6733.75,6736
1773612900,6736.25,6737,6729.5,6730.75
1773613200,6731,6738,6730.25,6736.5
1773613500,6736.75,6741.5,6735.5,6738.75
1773613800,6739,6740.25,6733.75,6736.75
1773614100,6737,6741.25,6736,6740.75
1773614400,6740.75,6752.5,6740.5,6752.25
1773614700,6752,6758.5,6749.25,6756.25
1773615000,6756.25,6766.25,6755.75,6765
1773615300,6765.25,6772,6764,6769.5
1773615600,6769.5,6776.5,6763.25,6768.25
1773615900,6767.75,6771,6762.25,6764.75
1773616200,6764.75,6766,6759.25,6765
1773616500,6764.75,6766.5,6760.25,6762.25
1773616800,6762.25,6764,6759.25,6763
1773617100,6763,6763.5,6758.5,6760.25
1773617400,6760.25,6761.5,6756.75,6758.25
1773617700,6758.5,6759.75,6754.5,6755.75
1773618000,6756,6764.25,6755.5,6760.5
1773618300,6760.75,6766.25,6760.5,6765.5
1773618600,6765.25,6766.25,6762.75,6765
1773618900,6764.75,6765,6760.5,6762.5
1773619200,6762.75,6775,6762,6772.25
1773619500,6772.5,6780,6771.5,6778.75
1773619800,6778.75,6782,6775.5,6779.5
1773620100,6780,6783.5,6778,6779
1773620400,6778.75,6778.75,6774.25,6775.5
1773620700,6775.5,6775.75,6772.25,6774
1773621000,6773.75,6775.25,6772,6775.25
1773621300,6775,6778.5,6773.25,6777.25
1773621600,6777,6779,6775,6775
1773621900,6775,6780.75,6773.25,6779
1773622200,6779.25,6780.75,6777.75,6780.25
1773622500,6780.25,6780.75,6777.5,6778.25
1773622800,6778.25,6782.25,6774.5,6775.25
1773623100,6775.25,6778,6775.25,6775.25
1773623400,6775.5,6777,6774,6775.5
1773623700,6776,6782,6775.5,6780.25
1773624000,6780.25,6781.5,6778,6778.25
1773624300,6778.25,6779.75,6775.25,6775.5
1773624600,6775.5,6776.5,6769.75,6772.75
1773624900,6773,6777,6770,6770.25
1773625200,6770.25,6775,6769.75,6773
1773625500,6773,6778.5,6772.75,6778
1773625800,6778,6785.25,6778,6783.5
1773626100,6783.5,6784.25,6781.5,6783
1773626400,6783,6783.5,6778.25,6781.25
1773626700,6781.25,6783.5,6778.75,6781.25
1773627000,6781.25,6781.75,6777.25,6778.25
1773627300,6778.5,6780.25,6775.25,6779.25
1773627600,6779,6779.5,6774.5,6775.25
1773627900,6775.25,6776.5,6774,6775
1773628200,6775,6775.25,6773,6774.25
1773628500,6774.25,6774.5,6772,6772.75
1773628800,6772.75,6776,6772.5,6773.75
1773629100,6773.75,6778.5,6772.5,6775.5
1773629400,6775.5,6777.25,6772.75,6773.75
1773629700,6773.5,6778,6773.5,6775
1773630000,6775.25,6776.75,6775,6775.75
1773630300,6775.75,6778,6775.25,6777.75
1773630600,6777.75,6778,6775.25,6776.5
1773630900,6776.5,6779.25,6776,6779
1773631200,6778.75,6779,6776.25,6778.75
1773631500,6779,6780.75,6778,6780.25
1773631800,6780.5,6782.75,6780.25,6781.75
1773632100,6781.75,6783.5,6781,6782.5
1773632400,6782.75,6783,6781.5,6782.75
1773632700,6782.75,6788,6781.75,6787.5
1773633000,6787.75,6788,6785,6785.75
1773633300,6786,6786.75,6784.5,6786
1773633600,6786,6787,6784.75,6784.75
1773633900,6784.75,6786.75,6784.75,6785
1773634200,6785,6786.5,6784.75,6785
1773634500,6785,6789.25,6785,6787.75
1773634800,6787.75,6788,6785.25,6785.5
1773635100,6785.5,6786.25,6785,6785.25
1773635400,6785.25,6785.25,6783.75,6784
1773635700,6784,6784.5,6782.75,6783.25
1773636000,6783,6783,6781.75,6782.25
1773636300,6782.25,6783.25,6780.5,6781
1773636600,6780.75,6784.5,6779.25,6782.5
1773636900,6782.5,6782.5,6778.75,6778.75
1773637200,6779.25,6780.75,6778.75,6780.25
1773637500,6780.5,6783.75,6780.5,6782.25
1773637800,6782.75,6783,6782,6783
1773638100,6783,6783.5,6781.25,6782.75
1773638400,6782.5,6782.75,6779.75,6781.75
1773638700,6782,6782,6779.75,6780.75
1773639000,6781,6781.25,6779.5,6779.5
1773639300,6779.25,6785.75,6779,6785.5
1773639600,6785.75,6787,6785.25,6785.75
1773639900,6785.5,6790.5,6785.5,6790
1773640200,6790,6792,6788.75,6788.75
1773640500,6788.75,6791.5,6788.25,6791
1773640800,6790.75,6792.5,6789.75,6790.25
1773641100,6790,6792.5,6790,6792
1773641400,6792,6793.25,6790,6791
1773641700,6791,6791.5,6788,6788.25
1773642000,6788.25,6788.75,6786.25,6786.25
1773642300,6786.5,6788,6785.25,6786
1773642600,6786.25,6788.75,6785.75,6786.5
1773642900,6786.5,6788.25,6786.25,6787.5
1773643200,6787.5,6790,6787.25,6787.5
1773643500,6787.25,6788.25,6786.25,6788
1773643800,6788,6790.75,6787.25,6790.75
1773644100,6791,6793,6790,6792.5
1773644400,6792.75,6796.75,6791.5,6794.75
1773644700,6794.5,6795.5,6790,6790.25
1773645000,6790.5,6792.5,6786.5,6787
1773645300,6787,6788.25,6785,6785.75
1773645600,6785.5,6788,6785,6787.5
1773645900,6787.25,6788,6782,6783.25
1773646200,6783.5,6786.5,6778.5,6778.75
1773646500,6779,6779.75,6775.25,6775.75
1773646800,6776.5,6779,6775.25,6778.75
1773647100,6778.75,6782.25,6777,6782
1773647400,6781.75,6784.5,6778.5,6778.75
1773647700,6778.5,6780.75,6776,6778.5
1773648000,6778.25,6786.75,6777.5,6783.25
1773648300,6783,6792.5,6782.5,6792
1773648600,6792.5,6793.25,6783,6783
1773648900,6783,6783.5,6778.75,6781
1773649200,6781,6790.25,6777.25,6787
1773649500,6786.5,6786.5,6781,6783.25
1773649800,6783.25,6786.75,6779.5,6780.25
1773650100,6780.5,6782.5,6777,6777.25
1773650400,6777.5,6780.75,6774.75,6775.75
1773650700,6776,6778.75,6773.5,6773.75
1773651000,6773.75,6783,6773.25,6782.25
1773651300,6782,6784.5,6779,6780
1773651600,6780,6781.5,6775.5,6775.75
1773651900,6775.5,6775.5,6769,6773
1773652200,6773,6780.5,6773,6778
1773652500,6778,6780,6773.5,6777.25
1773652800,6777.25,6779.75,6774.5,6775
1773653100,6775.25,6779.75,6773.75,6775.5
1773653400,6775.5,6776,6768.75,6769.75
1773653700,6770,6774.25,6769,6770
1773654000,6770.25,6773.25,6767.5,6767.75
1773654300,6767.75,6777.25,6765.5,6775
1773654600,6775,6775.5,6770,6771
1773654900,6770.75,6773,6768.25,6770
1773655200,6769.75,6776,6768.75,6775.5
1773655500,6775.5,6778.5,6769.75,6778.25
1773655800,6778.25,6779.75,6775.75,6778.5
1773656100,6778.5,6781.25,6778,6780.75
1773656400,6780.75,6790,6780.75,6786.75
1773656700,6786.75,6792.5,6786.25,6789.5
1773657000,6789.5,6790.25,6785.25,6786
1773657300,6786,6787,6783.75,6786.75
1773657600,6786.75,6792.5,6784.25,6787.5
1773657900,6787.25,6793.25,6785.25,6793
1773658200,6792.75,6796,6791,6795.25
1773658500,6795,6800,6794.75,6798.5
1773658800,6798.75,6799,6792.75,6797
1773659100,6797,6797.75,6793,6793.25
1773659400,6793.5,6797.75,6792.5,6795.25
1773659700,6795.25,6798,6794.75,6797.25
1773660000,6797.5,6797.5,6792.5,6794.75
1773660300,6795,6796.25,6789.5,6791.25
1773660600,6791.25,6796.5,6790.25,6796
1773660900,6796.25,6801.25,6795.5,6799.5
1773661200,6799.5,6804,6798.5,6802.25
1773661500,6802.5,6804.5,6799,6800.75
1773661800,6800.75,6801.5,6798,6798.75
1773662100,6798.75,6802.25,6798.75,6802
1773662400,6801.75,6805.5,6801.75,6804.5
1773662700,6804.75,6807.5,6803.25,6807
1773663000,6807,6815.5,6806,6813.5
1773663300,6813.5,6815.5,6810.5,6814
1773663600,6813.75,6813.75,6808.5,6808.75
1773663900,6809,6810.25,6807,6810
1773664200,6809.75,6813.75,6809.5,6812.5
1773664500,6812.75,6814,6810.25,6811.75
1773664800,6811.75,6816.25,6809.25,6814.75
1773665100,6814.5,6818,6812.75,6814.25
1773665400,6814,6816.5,6810.75,6811
1773665700,6811,6811.25,6806.5,6808.25
1773666000,6808.5,6814.5,6807.5,6811.25
1773666300,6811.25,6813.25,6810,6810.5
1773666600,6810.75,6811.25,6807.5,6808.75
1773666900,6809,6810.5,6807,6809.25
1773667200,6809.25,6812.75,6807.25,6809.25
1773667500,6809.25,6811,6807.25,6810.75
1773667800,6810.75,6816,6804,6813
1773668100,6812.5,6818.5,6812,6817.5
1773668400,6817.25,6824.75,6814,6824
1773668700,6823.5,6833.25,6822.25,6827.5
1773669000,6827.25,6828.25,6822.5,6825.25
1773669300,6825.25,6836.5,6821,6835.5
1773669600,6835.25,6836.25,6827.25,6830.25
1773669900,6830.5,6838,6826.25,6835.25
1773670200,6835.25,6841.5,6831.5,6833.5
1773670500,6833.5,6839.5,6829.5,6833
1773670800,6833,6840.75,6832.5,6837.25
1773671100,6837,6839,6829.5,6829.75
1773671400,6830,6830.75,6816.5,6818
1773671700,6818,6823.75,6810.25,6810.75
1773672000,6811,6814.75,6807,6809.25
1773672300,6809.25,6813.75,6804.75,6807
1773672600,6807,6820,6802.5,6819.25
1773672900,6818.75,6825.25,6816,6825.25
1773673200,6825.25,6826.5,6815.75,6817.5
1773673500,6817.75,6820.5,6813,6820.25
1773673800,6820,6823,6813.5,6820.75
1773674100,6820.75,6824.5,6815,6823.75
1773674400,6823.75,6830.25,6821.75,6828.75
1773674700,6828.75,6830.5,6824,6827.75
1773675000,6827.25,6833,6827.25,6831.25
1773675300,6831.5,6833.75,6828.5,6829
1773675600,6828.75,6829.75,6824.5,6825.75
1773675900,6825.75,6830.25,6825,6828.5
1773676200,6828.25,6828.5,6817.75,6821
1773676500,6821,6823.25,6811.25,6811.75
1773676800,6811.5,6816,6808.75,6809.25
1773677100,6809.25,6818.75,6808.25,6814.25
1773677400,6814.5,6818.75,6812,6815.5
1773677700,6815.5,6817.75,6810.75,6813
1773678000,6813,6814,6800.25,6800.75
1773678300,6800.5,6805,6798,6801.25
1773678600,6801.25,6806.25,6798,6802
1773678900,6801.75,6809.25,6801.75,6809
1773679200,6808.75,6816,6805.75,6813.25
1773679500,6813,6815,6809,6811.75
1773679800,6812.25,6817.75,6810.5,6812.25
1773680100,6812.75,6815,6809.5,6811
1773680400,6811.25,6822.25,6810.75,6813.75
1773680700,6814,6819,6812.75,6816.5
1773681000,6816.25,6823.5,6816.25,6820.75
1773681300,6820.75,6821.5,6816,6820
1773681600,6819.75,6824.5,6819.75,6822
1773681900,6822.25,6824.75,6818.25,6819.25
1773682200,6819.25,6822.75,6815.5,6817.5
1773682500,6817.5,6820.25,6815.5,6816
1773682800,6816,6818,6813,6813.75
1773683100,6813.75,6819.25,6809,6810.25
1773683400,6810.5,6815.75,6806.5,6813
1773683700,6812.75,6816.75,6811.25,6814.25
1773684000,6814.5,6818.75,6813.5,6818.5
1773684300,6818.75,6824.75,6816.75,6822.5
1773684600,6822.25,6824.25,6819.5,6822.25
1773684900,6822.5,6827.75,6821.75,6825.25
1773685200,6825,6828,6823.25,6826.5
1773685500,6826.5,6827.25,6822.25,6825
1773685800,6825,6827,6822.75,6826
1773686100,6826,6828.5,6823.75,6827.5
1773686400,6827.5,6829.25,6825.75,6828.75
1773686700,6828.75,6830,6827.25,6827.5
1773687000,6827.5,6827.75,6823.75,6824
1773687300,6824,6824.75,6821.5,6823
1773687600,6822.75,6827,6820.5,6822.75
1773687900,6822.75,6840.75,6819,6840.25
1773688200,6840.25,6847.75,6822.25,6825.25
1773688500,6825.5,6830,6820.5,6820.75
1773688800,6820.5,6824.25,6816.25,6818
1773689100,6818,6822,6813.75,6819.5
1773689400,6819.5,6820.75,6816.25,6816.5
1773689700,6816.75,6820.75,6814.75,6816.25
1773690000,6816.25,6817.75,6810.75,6812.5
1773690300,6812.5,6815.25,6810.75,6814
1773690600,6814.25,6817.25,6811.25,6813.25
1773690900,6813.25,6819.5,6813.25,6816.5
1773691200,6816.75,6819.25,6813.5,6815.75
1773691500,6816,6821,6815.75,6818.25
1773691800,6818.25,6820.5,6817,6819.5
1773692100,6819.75,6820,6816,6816.25
1773692400,6816,6816.5,6811.75,6811.75
1773692700,6812,6812.5,6810,6811
1773693000,6811.25,6812.75,6810.25,6810.75
1773693300,6811.25,6812,6809.25,6811
1773693600,6810.75,6814.25,6809.5,6811.25
1773693900,6811.5,6813.75,6810,6813.25
1773694200,6813,6814.25,6812.25,6813
1773694500,6813.5,6814.5,6811.25,6812.75
1773698400,6812.75,6814,6806.5,6806.75
1773698700,6806.5,6811.25,6806,6808.75
1773699000,6808.75,6812.25,6807.5,6811
1773699300,6810.5,6810.75,6806.75,6807
1773699600,6807,6811.25,6807,6811.25
1773699900,6811,6814.25,6810.5,6812.5
1773700200,6812,6812.75,6807.75,6808.75
1773700500,6809,6809.75,6806.5,6807
1773700800,6807,6808,6806.5,6807.25
1773701100,6807.25,6807.75,6807,6807
1773701400,6807,6807.5,6805.75,6806
1773701700,6805.5,6808,6805.5,6806.5
1773702000,6806.5,6810.25,6806.5,6807.75
1773702300,6807.75,6809.25,6807.75,6808.75
1773702600,6808.75,6809.75,6807.25,6808.25
1773702900,6808.25,6808.75,6806.25,6808.75
1773703200,6808.5,6810,6808,6808.25
1773703500,6808.25,6810.25,6807.25,6810
1773703800,6810,6812.25,6809,6810.75
1773704100,6810.75,6811,6809.5,6810.75
1773704400,6810.75,6814,6810.75,6812
1773704700,6812.25,6813,6810.5,6812.25
1773705000,6812,6814,6812,6813.5
1773705300,6813.5,6815.25,6812,6814.75
1773705600,6814.75,6815,6806.5,6806.5
1773705900,6806.75,6811.75,6806.5,6809.25
1773706200,6809,6810.25,6807.75,6808.5
1773706500,6808.25,6809.5,6805.5,6807.25
1773706800,6807.25,6807.25,6802.5,6802.75
1773707100,6802.75,6804,6800.5,6803.25
1773707400,6803.25,6806.5,6803,6806
1773707700,6806,6809.25,6804.75,6805
1773708000,6805,6805.5,6800.5,6801.75
1773708300,6801.5,6803.5,6800.75,6801
1773708600,6801.25,6801.25,6797.75,6798.75
1773708900,6799,6799.75,6796.75,6798.75
1773709200,6798.5,6801,6798,6800.25
1773709500,6800.75,6803,6800.5,6801.75
1773709800,6801.75,6804.5,6801,6802.5
1773710100,6802.5,6803.5,6800.25,6800.75
1773710400,6800.5,6801.25,6799.75,6801.25
1773710700,6801.25,6803,6799.5,6802.25
1773711000,6802.5,6805.5,6802.25,6805.5
1773711300,6805.5,6806.25,6802,6802.75
1773711600,6802.75,6802.75,6799.25,6801.5
1773711900,6801.5,6801.5,6799,6800.75
1773712200,6800.75,6803.75,6800.5,6803.75
1773712500,6803.75,6805.25,6803.25,6804.25
1773712800,6804.5,6804.75,6802.5,6802.5
1773713100,6802.75,6803,6800.25,6801.5
1773713400,6801.5,6803,6800.5,6802.25
1773713700,6802.5,6802.5,6800,6800.75
1773714000,6801,6803.25,6800.75,6802.5
1773714300,6802.5,6803,6801.25,6801.5
1773714600,6801.5,6804,6801.5,6802.5
1773714900,6802.5,6803,6801.25,6801.5
1773715200,6801.75,6802,6800.75,6801.75
1773715500,6801.5,6801.75,6799.75,6800.75
1773715800,6800.25,6800.25,6796.75,6797.75
1773716100,6797.75,6798.25,6794.75,6795.5
1773716400,6795.25,6796.75,6794.25,6795.25
1773716700,6795.25,6796,6794,6795.5
1773717000,6795.5,6797.25,6795.5,6797.25
1773717300,6797.25,6800.75,6797.25,6799.5
1773717600,6799.5,6800,6798.75,6798.75
1773717900,6798.75,6799,6797.25,6798.25
1773718200,6798,6799.5,6796.5,6797
1773718500,6797.25,6797.75,6795.5,6795.75
1773718800,6795.75,6795.75,6793.25,6795.5
1773719100,6795.25,6796,6794.25,6795.75
1773719400,6795.75,6796.75,6794.75,6795
1773719700,6795,6795.5,6794,6795.25
1773720000,6795.25,6796.25,6794.25,6795.5
1773720300,6795.5,6797,6795,6795.5
1773720600,6795.5,6797,6795.5,6796.5
1773720900,6796.75,6799.25,6796,6799
1773721200,6798.75,6798.75,6796,6796.25
1773721500,6796.5,6798,6796,6798
1773721800,6798.25,6800.25,6798.25,6799.75
1773722100,6799.75,6802.5,6799.75,6801
1773722400,6801,6803.25,6800.25,6803
1773722700,6803,6806.5,6802.75,6805.75
1773723000,6806,6807,6805,6806.5
1773723300,6806.5,6806.5,6803.75,6804.25
1773723600,6804.25,6804.75,6803,6803.5
1773723900,6803.25,6805,6803.25,6804.5
1773724200,6804.75,6806.75,6803.5,6806.25
1773724500,6806.5,6807.25,6805.25,6805.25
1773724800,6805.5,6806.25,6804.75,6805.25
1773725100,6805.5,6807,6805,6805
1773725400,6805.25,6806.25,6804,6804.25
1773725700,6804.5,6804.5,6802.25,6802.25
1773726000,6802.5,6803.75,6800,6800.25
1773726300,6800.25,6800.5,6793.25,6794.5
1773726600,6794.5,6794.75,6789.5,6790.25
1773726900,6790,6790.25,6785.25,6785.75
1773727200,6785.75,6787.25,6779.25,6780.5
1773727500,6780.5,6783,6778.75,6779
1773727800,6779,6783.5,6778.25,6781
1773728100,6781.25,6783.75,6780,6783.5
1773728400,6783.5,6788,6783,6784.5
1773728700,6784.25,6785.75,6781,6785.75
1773729000,6785.5,6786.5,6782.75,6784.25
1773729300,6784.25,6787.25,6783.25,6787.25
1773729600,6787.25,6787.5,6784.5,6785.75
1773729900,6786,6786,6781.25,6781.5
1773730200,6781.75,6783.75,6781.25,6781.75
1773730500,6782,6784.25,6781.75,6784
1773730800,6783.75,6785.75,6780,6785.25
1773731100,6785,6787.25,6783.5,6784.25
1773731400,6784.25,6786.25,6783.5,6785
1773731700,6785,6790.5,6783.75,6790
1773732000,6789.75,6794.25,6788.5,6793
1773732300,6793,6794.25,6790.75,6793.75
1773732600,6793.5,6795,6792.25,6794
1773732900,6794.25,6795.75,6791.75,6795.25
1773733200,6795.5,6798,6791.5,6791.75
1773733500,6791.75,6792,6789.5,6790.5
1773733800,6790.5,6790.5,6786.25,6786.5
1773734100,6786.5,6789,6786.25,6788.75
1773734400,6788.5,6796.75,6788.5,6793.25
1773734700,6793.25,6793.5,6788.25,6789
1773735000,6789,6791.25,6785.75,6787.75
1773735300,6787.5,6793,6786,6793
1773735600,6792.75,6794.25,6787,6788.5
