time,open,high,low,close
1773612000,24794.75,24911.25,24777,24864
1773612300,24866.25,24868.75,24828.75,24833
1773612600,24830.75,24844.25,24812.25,24820
1773612900,24820.25,24820.25,24802,24813.25
1773613200,24810.75,24839.25,24810,24837.25
1773613500,24836.75,24857,24828,24845.75
1773613800,24845.75,24855.5,24830.75,24839
1773614100,24838.75,24865.25,24833.5,24860.5
1773614400,24859.25,24903.75,24856.25,24899.25
1773614700,24899,24936.25,24890.5,24925.25
1773615000,24926,24966.25,24925.25,24962
1773615300,24963.25,24983,24954.75,24973
1773615600,24972.75,25002.75,24947.75,24965.5
1773615900,24966.25,24982.25,24943.25,24954
1773616200,24953,24959.25,24933,24956.25
1773616500,24956.75,24961.25,24937,24944.5
1773616800,24944,24953.75,24934.5,24951.75
1773617100,24951.5,24955.25,24932,24941.25
1773617400,24941.5,24945.75,24927,24933.5
1773617700,24933.75,24938.5,24914,24922.25
1773618000,24922,24956.25,24920.25,24940.5
1773618300,24941.25,24967,24940.75,24965.75
1773618600,24965.75,24968.25,24954.5,24962.5
1773618900,24961.75,24962.25,24944.75,24947.5
1773619200,24947,24998,24942,24988.75
1773619500,24988.75,25020.25,24987,25013.25
1773619800,25014.25,25026.75,24998.75,25014.75
1773620100,25014,25033.25,25014,25016.75
1773620400,25016.25,25016.25,24993.75,25002.25
1773620700,25003,25004,24993,24999.25
1773621000,24998.25,25006.75,24992,25004.75
1773621300,25004.75,25018.5,24997,25012.5
1773621600,25012.5,25019.25,25005,25006
1773621900,25005.5,25024.75,24995,25022.25
1773622200,25022.75,25028,25017.25,25024.5
1773622500,25024.75,25026.75,25014.75,25017.75
1773622800,25017.75,25030,25002,25004
1773623100,25003.75,25014,25002.5,25005
1773623400,25006,25010,24997,25007.75
1773623700,25008.5,25027,25006,25019.25
1773624000,25019.25,25023.25,25012,25014.75
1773624300,25014,25019.5,24999.25,25000.25
1773624600,25000.25,25003.75,24975.75,24986.25
1773624900,24985.75,25004.75,24979.75,24981.5
1773625200,24981.75,24998.25,24978.25,24989
1773625500,24990,25008.25,24988.25,25007.5
1773625800,25006,25032,25006,25024.75
1773626100,25025.25,25028,25015.25,25023.5
1773626400,25022.5,25025.5,25002,25015.75
1773626700,25016.25,25023.5,25005.75,25017.5
1773627000,25017,25020.75,25003,25009
1773627300,25009.5,25019,24993.5,25010
1773627600,25009.75,25013.75,24992,24997.25
1773627900,24996.75,25000.25,24989,24994.25
1773628200,24993,24996,24988,24991.75
1773628500,24992.25,24993.75,24981.5,24985
1773628800,24984.75,24998,24982,24986
1773629100,24985.5,25006.75,24982,24996.75
1773629400,24996,25003,24982.75,24984.75
1773629700,24985.75,25007,24985.75,24995.5
1773630000,24997.75,25003,24992.25,25000.75
1773630300,25000,25009,24998.75,25008.75
1773630600,25007.5,25008.5,24997.5,25002.5
1773630900,25003,25021.25,24999.5,25010.5
1773631200,25010.75,25014.25,24999.75,25012
1773631500,25011.5,25017,25007,25014.5
1773631800,25015.5,25027,25015.25,25022.75
1773632100,25022,25026.25,25018.5,25022.5
1773632400,25023.5,25025.5,25020.75,25023.5
1773632700,25024.5,25045,25021.25,25044.75
1773633000,25045,25046.75,25036,25038.25
1773633300,25038.5,25041,25033.25,25039
1773633600,25037.75,25041,25033.75,25033.75
1773633900,25034.5,25049,25034.5,25039
1773634200,25038.5,25045,25037.5,25040
1773634500,25041.25,25057,25041.25,25051.75
1773634800,25051,25051.5,25037.75,25041.25
1773635100,25041.75,25044.25,25038.75,25039.75
1773635400,25039.75,25041.5,25034.75,25035.5
1773635700,25036,25036,25026,25029.25
1773636000,25028.5,25028.5,25022.25,25024
1773636300,25024.5,25029,25019,25020.25
1773636600,25020,25037,25013.5,25030.75
1773636900,25031.25,25032.25,25011,25014
1773637200,25013.5,25019.75,25013,25017
1773637500,25017,25033,25015.75,25029.5
1773637800,25029,25032,25027.25,25031
1773638100,25031,25033.75,25023.5,25028.75
1773638400,25029,25029.5,25019.25,25026.5
1773638700,25026.25,25028.5,25018.5,25022.5
1773639000,25022.5,25024.75,25017,25017.75
1773639300,25017.5,25042,25016,25041.75
1773639600,25041.5,25049.25,25039.5,25043.75
1773639900,25044.25,25060.5,25041.5,25057.75
1773640200,25058.75,25067,25051.75,25052.75
1773640500,25053.75,25069,25050.5,25067
1773640800,25066.75,25068.5,25058.25,25058.25
1773641100,25059.25,25068,25058.25,25065
1773641400,25065,25071.75,25057,25060.5
1773641700,25061.25,25065,25051.25,25052.75
1773642000,25053,25054,25046,25047.5
1773642300,25047.5,25055.25,25043,25046
1773642600,25045.75,25056.75,25045.5,25047.25
1773642900,25047,25056.25,25044.75,25052.5
1773643200,25052,25064.75,25051.25,25052.25
1773643500,25051.5,25056.5,25046.25,25051.75
1773643800,25052.5,25061.25,25048.5,25060.75
1773644100,25061.5,25075,25058.5,25072.25
1773644400,25071.5,25092.25,25067.5,25078.75
1773644700,25077.5,25084,25064.5,25065.5
1773645000,25064.75,25077,25050.75,25051.25
1773645300,25051.75,25058.25,25045.5,25047.75
1773645600,25048.5,25058.25,25046.25,25053.25
1773645900,25053.25,25056.75,25034.75,25038.25
1773646200,25039,25048.75,25019.75,25022.25
1773646500,25020.5,25029.25,25011,25014.25
1773646800,25013.75,25023.75,25012.25,25023
1773647100,25023.5,25035.25,25019,25031.75
1773647400,25032.5,25042.25,25020.75,25023.75
1773647700,25022.5,25027.5,25013.25,25020.75
1773648000,25020,25053.25,25015.5,25035.5
1773648300,25035.5,25074.5,25033.25,25074.5
1773648600,25073.25,25077.5,25038.25,25038.25
1773648900,25037.25,25038.5,25017.5,25025.25
1773649200,25025.75,25059.5,25010.5,25046.5
1773649500,25046,25046,25026.25,25034.75
1773649800,25036.75,25049,25019.25,25024.5
1773650100,25023.5,25030.25,25014.25,25015.25
1773650400,25015.75,25032.75,25007.25,25012
1773650700,25011.5,25023.25,25004.5,25006.25
1773651000,25005.75,25041,25004.25,25038.25
1773651300,25037.25,25048,25030,25035.5
1773651600,25035.5,25042.25,25022,25023.5
1773651900,25023,25023,24993,25009.75
1773652200,25009.25,25043.75,25009.25,25032
1773652500,25031,25040.75,25015.75,25030.5
1773652800,25031,25040,25020,25020.75
1773653100,25021.25,25039.5,25014.5,25019
1773653400,25019,25019,24997,24999.25
1773653700,25000.25,25017.5,24995.75,25001.25
1773654000,25002,25013,24990.5,24992.25
1773654300,24992.5,25022.75,24985,25016.25
1773654600,25016.5,25018.75,24995.25,25000.5
1773654900,24999,25009.75,24993.25,24998.75
1773655200,24998.25,25024.75,24994.5,25023
1773655500,25021.75,25035.5,25002,25033
1773655800,25033,25040.25,25025.25,25033
1773656100,25034,25042.5,25029.75,25040
1773656400,25040.75,25080,25040,25064.75
1773656700,25064.25,25089.5,25062.25,25079
1773657000,25078,25082.5,25060.75,25066.25
1773657300,25066.5,25077,25061.75,25074
1773657600,25075.25,25105.75,25065.75,25072.75
1773657900,25071.75,25100,25063.75,25098.75
1773658200,25098.75,25107,25088.5,25103.25
1773658500,25104.25,25121,25102.75,25111.25
1773658800,25111,25119,25095.5,25103.75
1773659100,25103.75,25106.75,25093,25093.75
1773659400,25093.75,25106.75,25091.25,25099
1773659700,25099,25113.5,25097.25,25109.5
1773660000,25110.25,25110.5,25092,25102.25
1773660300,25104,25106.5,25083.5,25085
1773660600,25087,25110.25,25083.5,25107.5
1773660900,25108.25,25132,25104.75,25123.25
1773661200,25123,25141.75,25120.5,25137.25
1773661500,25136.5,25143.75,25122.75,25128.5
1773661800,25128.75,25133.25,25121.5,25125
1773662100,25125.25,25135.5,25121.5,25132.75
1773662400,25131.75,25146.25,25131.25,25141.75
1773662700,25142.25,25155.25,25137.5,25155.25
1773663000,25154.5,25182,25147.5,25176.75
1773663300,25176.75,25185.75,25164,25180.75
1773663600,25180.25,25180.25,25162.25,25165.25
1773663900,25165.5,25173.75,25158.5,25172
1773664200,25172,25193,25170.25,25188.75
1773664500,25189,25191,25174,25178.75
1773664800,25179.5,25195.75,25170.5,25184
1773665100,25183.25,25196.75,25177.25,25181.75
1773665400,25181.5,25190.25,25167.25,25170.25
1773665700,25170,25170.25,25154.5,25165
1773666000,25165.25,25189.25,25160.5,25176.25
1773666300,25175.75,25184.5,25168.75,25170.75
