time,open,high,low,close
1782462000,4047.7,4049.4,4045.4,4046.1
1782462300,4046.5,4051.2,4045.8,4050.9
1782462600,4050.9,4051.6,4047.6,4049.7
1782462900,4050,4050,4047.2,4048.6
1782463200,4048.6,4051.5,4047.6,4050.8
1782463500,4051,4053.5,4048.2,4048.7
1782463800,4048.9,4049.6,4047.3,4048
1782464100,4047.9,4047.9,4044.8,4046.1
1782464400,4046.1,4050.2,4044.3,4049.4
1782464700,4049.4,4055.3,4049.3,4054
1782465000,4054,4057.7,4053.1,4054.9
1782465300,4055,4062.7,4049.4,4062.3
1782465600,4062.3,4064.8,4058.4,4063.6
1782465900,4063.7,4066.5,4062.1,4063.2
1782466200,4063.3,4065,4060.3,4063.4
1782466500,4063.8,4069.7,4063.6,4067
1782466800,4067,4069.1,4062.6,4063.3
1782467100,4063.5,4064.7,4060.9,4062.4
1782467400,4062.5,4069.3,4061.9,4065.8
1782467700,4065.4,4066,4062.5,4062.5
1782468000,4062.6,4064.5,4059.6,4062.9
1782468300,4063,4066.4,4062.1,4065.4
1782468600,4065.3,4067.7,4065.3,4066.6
1782468900,4066.6,4067.1,4060,4060
1782469200,4060.2,4061.4,4057.4,4059.5
1782469500,4059.7,4064.1,4058.8,4063.2
1782469800,4063.3,4069.6,4062.6,4069.1
1782470100,4069.3,4069.4,4064.2,4064.4
1782470400,4064.3,4066.1,4062,4063.7
1782470700,4063.8,4065.6,4062.5,4064
1782471000,4064.1,4069.9,4063.7,4068.1
1782471300,4068.3,4070.5,4066.6,4070.1
1782471600,4070.2,4071,4066.6,4068
1782471900,4067.9,4070.1,4067,4068
1782472200,4068.1,4068.5,4062.5,4062.6
1782472500,4062.5,4069.6,4061.5,4068.4
1782472800,4068.4,4069.2,4066.7,4067.5
1782473100,4067.4,4069.1,4065.9,4068.1
1782473400,4068.5,4071.5,4068.1,4069.3
1782473700,4069.1,4069.1,4063.5,4063.8
1782474000,4063.6,4065.6,4061.3,4061.9
1782474300,4061.9,4063.7,4060.5,4060.8
1782474600,4061,4061.4,4057.6,4059.7
1782474900,4059.6,4062.4,4059.6,4061
1782475200,4061,4061.3,4058.3,4059.8
1782475500,4059.7,4063.1,4059.5,4062.7
1782475800,4062.7,4066,4062.5,4064.2
1782476100,4064.2,4066.7,4058.9,4059.6
1782476400,4059.4,4061.9,4056.7,4058.7
1782476700,4059,4062.6,4059,4061.6
1782477000,4061.1,4064.1,4057.6,4059.7
1782477300,4059.7,4061.2,4058.1,4058.9
1782477600,4059.3,4059.3,4050.6,4055
1782477900,4054.9,4059.3,4053.9,4059.1
1782478200,4059,4063.8,4058.3,4060.7
1782478500,4060.9,4076.7,4060.9,4074
1782478800,4074.1,4081,4065,4067.2
1782479100,4067.3,4068.2,4058.1,4059.7
1782479400,4060,4065.9,4058.3,4065.1
1782479700,4065.2,4068,4057.6,4065.1
1782480000,4065.3,4073.6,4064.2,4072.1
1782480300,4072,4073.5,4067.7,4072.1
1782480600,4072,4072,4062.6,4065.3
1782480900,4065.6,4066.3,4059.6,4062.7
1782481200,4062.3,4077.2,4062.2,4077.2
1782481500,4077.3,4080.4,4072.8,4077
1782481800,4077,4084.5,4075.8,4079
1782482100,4079.4,4093.1,4078.9,4088.9
1782482400,4089,4095,4083,4093.1
1782482700,4093,4095.8,4087.5,4095
1782483000,4095,4100.7,4092.3,4097.5
1782483300,4097.9,4108.6,4096.9,4104.1
1782483600,4104.1,4108.3,4102.8,4104.2
1782483900,4104.3,4106.5,4099.3,4099.5
1782484200,4099.6,4100.3,4094.8,4095.4
1782484500,4095.8,4097,4091.4,4094.4
1782484800,4094.4,4099.3,4091.5,4097.8
1782485100,4097.7,4107.1,4097.7,4103.2
1782485400,4103.9,4104.1,4098.8,4103.1
1782485700,4103.1,4106.7,4095.5,4095.5
1782486000,4095.8,4098.4,4094.1,4094.6
1782486300,4094.7,4096.4,4090.4,4095.9
1782486600,4095.8,4097.7,4092.6,4094.7
1782486900,4094.7,4099.9,4092.8,4097.2
1782487200,4097.3,4099.1,4095.3,4097.2
1782487500,4097.1,4099.7,4095.5,4099.1
1782487800,4099.5,4104,4097,4097
1782488100,4097.1,4109.7,4096.7,4106.8
1782488400,4106.8,4110.8,4106.3,4110.3
1782488700,4110.4,4111.8,4105.7,4110.1
1782489000,4110.4,4110.8,4098.3,4101.7
1782489300,4101.7,4107.3,4101.2,4106.3
1782489600,4106,4108.3,4105.2,4107
1782489900,4106.8,4107.1,4103.6,4104.4
1782490200,4104.6,4107.9,4103.4,4106.5
1782490500,4106.6,4109.1,4105.1,4105.7
1782490800,4105.8,4106,4098.6,4101.1
1782491100,4100.9,4103.9,4100,4102.1
1782491400,4102.2,4108.5,4102.2,4103.4
1782491700,4103.3,4104.1,4099.6,4099.8
1782492000,4100,4101.4,4097.4,4099.4
1782492300,4099.6,4102,4098.8,4098.9
1782492600,4099.2,4100.6,4097.8,4100.3
1782492900,4100.5,4100.8,4098.8,4100.2
1782493200,4100.2,4101,4098.5,4099.7
1782493500,4099.8,4103.3,4099.4,4102
1782493800,4102.1,4102.6,4097.6,4098.6
1782494100,4098.7,4099.5,4096.6,4096.8
1782494400,4096.8,4100.3,4095.4,4099.9
1782494700,4099.6,4099.9,4095.5,4096.6
1782495000,4096.8,4098.4,4091.2,4093.2
1782495300,4093.2,4094.1,4089.2,4090.5
1782495600,4090.6,4092.7,4089.2,4091.7
1782495900,4091.6,4092.9,4089.2,4091.1
1782496200,4091.3,4091.9,4089.4,4090.1
1782496500,4090.1,4090.5,4088.2,4089.5
1782496800,4089.6,4091.7,4087,4091.4
1782497100,4091.4,4094.1,4089.9,4092.3
1782497400,4092.2,4093.1,4090.8,4091.8
1782497700,4091.6,4091.8,4088.4,4089.1
1782498000,4089.1,4089.5,4086.2,4086.5
1782498300,4086.7,4088.6,4086.6,4088.3
1782498600,4088.3,4090.3,4088.2,4089.3
1782498900,4089.5,4089.6,4087.4,4088.7
1782499200,4088.7,4088.9,4086.5,4087.4
1782499500,4087.3,4087.3,4082.3,4084
1782499800,4084.2,4085.6,4083.2,4085
1782500100,4085.1,4086.3,4081.8,4082.1
1782500400,4082.1,4083.3,4079.5,4080
1782500700,4080,4082.2,4079.1,4081.4
1782501000,4081.2,4084.6,4080.6,4084
1782501300,4084.1,4084.3,4081.8,4082.7
1782501600,4082.6,4082.7,4079.1,4080.3
1782501900,4080.1,4082.4,4079.5,4080.8
1782502200,4081,4085,4080.1,4084.8
1782502500,4084.6,4085.5,4082.5,4083
1782502800,4083,4084.9,4082.4,4083.3
1782503100,4083.3,4084.7,4081.5,4084.5
1782503400,4084.6,4088.8,4084.4,4087.8
1782503700,4087.9,4089.1,4085.8,4086.2
1782504000,4086.3,4087.2,4085.2,4085.8
1782504300,4085.9,4085.9,4080.4,4080.8
1782504600,4080.6,4083,4078.8,4082.5
